Tweet Permalink    Tweet id    Poster username    Tweet post Date    Tweet text    Number of retweets    Is a retweet
https://twitter.com/velphegor88/status/1207408731820040197    1207408731820040197    @velphegor88    2019-12-18 23:14:08    😂😂😂 εν για να σωννουν να παίξουν τα μωρά ρε    0    No
https://twitter.com/apoelfcofficial/status/1207408196144504832    1207408196144504832    @apoelfcofficial    2019-12-18 23:12:01    Εύκολη επικράτηση της ομάδας μας απέναντι στην # fifahellas με 4-0. Ο APOEL EFC παραμένει στην 2η θέση του βαθμολογικού πίνακα. Σκόρερ για την ομάδα μας οι # killbill (2) @ APOELFC_Eftimis (1) και # Siksys21 (1). Συγχαρητήρια σε όλη την ομάδα 🔷🔶 # fifa20"> #vglesports # apoelefc # ps4pic.twitter.com/3OW3bFaQpQ    0    No
https://twitter.com/Pablo2pe/status/1207406598852878336    1207406598852878336    @Pablo2pe    2019-12-18 23:05:40    Já assisti apoel x Genk    0    No
https://twitter.com/wilgat95/status/1207404637625704448    1207404637625704448    @wilgat95    2019-12-18 22:57:52    Claramente se puede leer que ya es nuevo jugador del Apoel Tel Aviv . Que te vaya bien felucho pechofriucho    0    No
https://twitter.com/_michalis79/status/1207403424863662080    1207403424863662080    @_michalis79    2019-12-18 22:53:03    Αν φυγει ο κ. Αντωνακης εγω θα σας βαλω στους 90 βαθμους ολες τις φανελες να γινουν κοντες να μπαινει μονο το χερι των παιχτων...    0    No
https://twitter.com/APOELLENE/status/1207402894686871557    1207402894686871557    @APOELLENE    2019-12-18 22:50:57    Παραίτα ρε που εννά πιάμε τον Ταμτάκο κλπ κλπ😁 (Προπονητής που απέτυχε ΔΙΣ στην αεκ από πού ως πού μπορεί κάποιος να θεωρήσει ότι κάμνει για το ΑΠΟΕΛ??)    0    No
https://twitter.com/ForoAliancista/status/1207402716856758272    1207402716856758272    @ForoAliancista    2019-12-18 22:50:14    NUEVOS AIRES? Felucho Rodríguez es opción para reforzar el Apoel Tel Aviv Esperemos que se de, es una oportunidad importante para él # ArribaAlianzapic.twitter.com/lChRUvim5B    1    No
https://twitter.com/Walo_FA/status/1207402327356956673    1207402327356956673    @Walo_FA    2019-12-18 22:48:41    Felucho Rodríguez suena como refuerzo del Apoel Tel Aviv Ojalá se de, es una oportunidad importante para él https://twitter.com/Gustavo_p4/status/1207401962104410113 …    0    Yes
https://twitter.com/APOELLENE/status/1207401076217004033    1207401076217004033    @APOELLENE    2019-12-18 22:43:43    Για πείτε, πόσα επεισόδια έγιναν, πόσα γυναικόπαιδα τραυματίστηκαν κ πόσες υλικές ζημιές υπέστησαν περιουσίες από τους, κατά τον @ AnastasiadesCY , φανατικούς φιλάθλους.https://twitter.com/apoelcomcy/status/1207394433097965568 …    0    Yes
https://twitter.com/apoelfcofficial/status/1207398808985968640    1207398808985968640    @apoelfcofficial    2019-12-18 22:34:43    Ξεκινά σε λίγο η αναμέτρηση για την 14η αγωνιστική του πρωταθλήματος # vglesports απέναντι στην # fifahellas. Παρακολουθήστε την αναμέτρηση ζωντανά με ελληνικό σχόλιο πατώντας εδώ https://youtu.be/FX6RvEBtFf0 # apoelefc # fifa20"> #vglesports # ps4pic.twitter.com/6P9u28zHwQ    1    No
https://twitter.com/velphegor88/status/1207398413043732487    1207398413043732487    @velphegor88    2019-12-18 22:33:08    Ο @ _michalis79 μπορεί να καμνει και άνετα τον ψάλτη με τον χάρη και έτσι να κρατήσουμε τον κ. Αντωνάκη    0    No
https://twitter.com/XH1926/status/1207398152313147395    1207398152313147395    @XH1926    2019-12-18 22:32:06    Πρωτος στοχος στον προγραμματισμό ειναι να θκιωξουμεν τον κ. Αντωνάκη. Αρκετα ριαλλια εφαεν τοσα χρονια. Αμεσως μετα η πρόσληψη του @ _michalis79 στην θεση του    0    No
https://twitter.com/APOELLENE/status/1207397958175490048    1207397958175490048    @APOELLENE    2019-12-18 22:31:20    Δεν νομίζω να δέχεται Τέτι κ Χατζηλούκα.    0    No
https://twitter.com/Solivagant_soul/status/1207397858502217733    1207397858502217733    @Solivagant_soul    2019-12-18 22:30:56    🤣🤣🤣    0    No
https://twitter.com/velphegor88/status/1207397789971419140    1207397789971419140    @velphegor88    2019-12-18 22:30:40    Δεχουμε    0    No
https://twitter.com/XH1926/status/1207397718869630977    1207397718869630977    @XH1926    2019-12-18 22:30:23    Εύκολα    0    No
https://twitter.com/velphegor88/status/1207397629379981314    1207397629379981314    @velphegor88    2019-12-18 22:30:01    Εν να μου το τσιμπας στο ημίχρονο ;    0    No
https://twitter.com/GeorgeKettisJr/status/1207397573599932420    1207397573599932420    @GeorgeKettisJr    2019-12-18 22:29:48    # breakingNews # trueStory # cyprus # lastixaries # apoel pic.twitter.com/fvcWA3vmCN    0    No
https://twitter.com/XH1926/status/1207396972174413829    1207396972174413829    @XH1926    2019-12-18 22:27:25    Εσυ θα εισαι το δεξι μου αρχ.....χερι    0    No
https://twitter.com/XH1926/status/1207396904847527936    1207396904847527936    @XH1926    2019-12-18 22:27:09    Ο Χαρης θα ειναι ο Πατερ διπλα στον Αρχαγγελο    0    No
https://twitter.com/XH1926/status/1207396756906008578    1207396756906008578    @XH1926    2019-12-18 22:26:33    Ποια προπόνηση παιδια? Ξεχαστηκα    0    No
https://twitter.com/Lykopulo/status/1207396589838442499    1207396589838442499    @Lykopulo    2019-12-18 22:25:54    Κυριοι βγαλαμε ειδηση, τελικα ο Ντεβι παει προπονηση...    0    No
https://twitter.com/velphegor88/status/1207396507806306304    1207396507806306304    @velphegor88    2019-12-18 22:25:34    Κοουτς εγώ και ο Χάρης δικαιούμαστε να αναλάβουμε ως διατροφολογοι να μεν πεινουν τα μωρά ;    0    No
https://twitter.com/XH1926/status/1207396328390766593    1207396328390766593    @XH1926    2019-12-18 22:24:51    Ο @ _michalis79 θα ειναι ο δικος μου κ. Αντωνάκης. Θα τον βαλω να πλινισκει τα ρουχα της προπόνησης θκιο φορες την.ημερα. να τα φορει ο Ντεβι τζαι να μυριζει comfort τριαντάφυλλο    0    No
https://twitter.com/Lykopulo/status/1207396137520521216    1207396137520521216    @Lykopulo    2019-12-18 22:24:06    Κοουτς πως πηγε η προπονηση σημερα, ειχαν ορεξη τα μωρα μας;;;    0    No
https://twitter.com/velphegor88/status/1207395947556278273    1207395947556278273    @velphegor88    2019-12-18 22:23:20    Καλωσόρισες κοουτς    0    No
https://twitter.com/XH1926/status/1207395874739040267    1207395874739040267    @XH1926    2019-12-18 22:23:03    😂😂😂    0    No
https://twitter.com/apoelcomcy/status/1207394433097965568    1207394433097965568    @apoelcomcy    2019-12-18 22:17:19    Ο ΑΠΟΕΛ με τη βοήθεια του κόσμου του που δημιούργησε εξαιρετική ατμόσφαιρα κέρδισε το ΘΟΙ Αυγόρου με 20-19 και συνεχίζει αλάνθαστος την πορεία του στο πρωτάθλημα Χειροσφαίρισης Β' κατηγορίας # APOEL # APOELHandballpic.twitter.com/jioiNUAGqF    0    No
https://twitter.com/Lykopulo/status/1207393860005089280    1207393860005089280    @Lykopulo    2019-12-18 22:15:03    Οταν θα βαλει κανενα γκολ να μου πειτε να το δω...    0    No
https://twitter.com/apoelfcofficial/status/1207393463123230721    1207393463123230721    @apoelfcofficial    2019-12-18 22:13:28    Διεθνή φιλική νίκη απέναντι στην επαγγελματική ομάδα της Başakşehir FC πέτυχε απόψε η ομάδα μας APOEL EFC επικρατώντας με 0-2. Ακολουθεί στις 22:45 ο επίσημος αγώνας πρωταθλήματος με την FIFA HELLAS. pic.twitter.com/FLDFjpzDOs    0    No
